state,date,strat,type,bottom,top,lower,upper,central_lower,central_upper,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Delaware,2020-10-09,,estimate,,,,,,,0.009,0.008,0.011,-0.011,0.002,0.007,0.011,0.015,0.023
Arkansas,2020-10-09,,estimate,,,,,,,0.009,0.009,0.005,0.001,0.006,0.008,0.01,0.012,0.016
Delaware,2020-09-08,,estimate,,,,,,,0.009,0.009,0.011,-0.01,0.002,0.007,0.011,0.015,0.026
Georgia,2020-10-21,,estimate,,,,,,,0.009,0.009,0.011,-0.009,0.003,0.006,0.011,0.015,0.025
Arkansas,2020-10-10,,estimate,,,,,,,0.01,0.009,0.005,0.002,0.007,0.009,0.011,0.012,0.016
Delaware,2020-10-10,,estimate,,,,,,,0.01,0.009,0.011,-0.009,0.003,0.007,0.012,0.016,0.024
Arkansas,2020-10-11,,estimate,,,,,,,0.01,0.01,0.005,0.002,0.007,0.009,0.011,0.013,0.017
Arizona,2020-09-25,,estimate,,,,,,,0.01,0.01,0.008,-0.005,0.005,0.008,0.012,0.015,0.021
Georgia,2020-10-22,,estimate,,,,,,,0.01,0.01,0.011,-0.008,0.004,0.007,0.012,0.016,0.027
Delaware,2020-09-07,,estimate,,,,,,,0.01,0.01,0.012,-0.009,0.003,0.007,0.013,0.017,0.029
Delaware,2020-10-11,,estimate,,,,,,,0.011,0.01,0.011,-0.009,0.004,0.009,0.013,0.017,0.025
Arkansas,2020-10-12,,estimate,,,,,,,0.011,0.011,0.005,0.003,0.008,0.01,0.012,0.014,0.017
Georgia,2020-10-23,,estimate,,,,,,,0.011,0.011,0.011,-0.005,0.005,0.008,0.013,0.017,0.029
Delaware,2020-09-06,,estimate,,,,,,,0.011,0.012,0.012,-0.008,0.004,0.009,0.014,0.019,0.032
Arkansas,2020-10-13,,estimate,,,,,,,0.012,0.011,0.005,0.004,0.009,0.011,0.013,0.014,0.018
Arizona,2020-09-26,,estimate,,,,,,,0.012,0.011,0.008,-0.003,0.007,0.01,0.013,0.016,0.022
