region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Tyva Republic,1.1 (0.9 -- 1.6),1.1,1.1,0.3,0.9,1,1,1.1,1.2,1.6,,,,,,,,Effective reproduction no.,Unsure
Ulyanovsk Oblast,1.1 (1 -- 1.3),1.1,1.1,0.1,1,1.1,1.1,1.1,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Vladimir Oblast,1.1 (0.9 -- 1.3),1.1,1.1,0.1,0.9,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Volgograd Oblast,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.2,1.2,,,,,,,,Effective reproduction no.,Unsure
Vologda Oblast,1.1 (1 -- 1.2),1.1,1.1,0.1,1,1.1,1.1,1.1,1.1,1.2,,,,,,,,Effective reproduction no.,Increasing
Voronezh Oblast,1.1 (1 -- 1.1),1.1,1.1,0,1,1,1,1.1,1.1,1.1,,,,,,,,Effective reproduction no.,Likely increasing
Yaroslavl Oblast,1.1 (1.1 -- 1.3),1.1,1.2,0.1,1.1,1.1,1.1,1.2,1.2,1.3,,,,,,,,Effective reproduction no.,Unsure
Altai Republic,1 (0.6 -- 1.3),1,1,0.2,0.6,0.8,0.9,1,1.1,1.3,,,,,,,,Effective reproduction no.,Unsure
Astrakhan Oblast,1 (1 -- 1.2),1,1.1,0.1,1,1,1,1,1.1,1.2,,,,,,,,Effective reproduction no.,Likely increasing
Buryatia Republic,1 (0.7 -- 1.2),1,1,0.1,0.7,0.9,1,1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Chechen Republic,1 (0.8 -- 1.3),1,1,0.1,0.8,1,1,1.1,1.1,1.3,,,,,,,,Effective reproduction no.,Unsure
Dagestan Republic,1 (0.9 -- 1.1),1,1,0,0.9,1,1,1,1,1.1,,,,,,,,Effective reproduction no.,Unsure
Ingushetia Republic,1 (0.9 -- 1.2),1,1,0.1,0.9,1,1,1,1.1,1.2,,,,,,,,Effective reproduction no.,Unsure
Kemerovo Oblast,1 (0.9 -- 1.1),1,1,0.1,0.9,0.9,1,1,1,1.1,,,,,,,,Effective reproduction no.,Unsure
Krasnodar Krai,1 (0.9 -- 1.1),1,1,0.1,0.9,1,1,1,1,1.1,,,,,,,,Effective reproduction no.,Unsure
Stavropol Krai,1 (1 -- 1.1),1,1,0,1,1,1,1,1,1.1,,,,,,,,Effective reproduction no.,Likely increasing
Karachay-Cherkess Republic,0.9 (0.7 -- 1.2),0.9,0.9,0.2,0.7,0.8,0.9,1,1,1.2,,,,,,,,Effective reproduction no.,Unsure
Udmurt Republic,0.9 (0.7 -- 1.1),0.9,0.9,0.1,0.7,0.9,0.9,1,1,1.1,,,,,,,,Effective reproduction no.,Unsure
Yamalo-Nenets Autonomous Okrug,0.9 (0.7 -- 1.3),0.9,1,0.2,0.7,0.8,0.9,1,1,1.3,,,,,,,,Effective reproduction no.,Unsure
