region,date,confirm
Bremen,2020-11-30,24
Hamburg,2020-11-30,55
Hessen,2020-11-30,523
Mecklenburg-Vorpommern,2020-11-30,29
Niedersachsen,2020-11-30,379
Nordrhein-Westfalen,2020-11-30,1352
Rheinland-Pfalz,2020-11-30,328
Saarland,2020-11-30,33
Sachsen,2020-11-30,534
Sachsen-Anhalt,2020-11-30,125
Schleswig-Holstein,2020-11-30,87
Thüringen,2020-11-30,253
Baden-Württemberg,2020-12-01,1164
Bayern,2020-12-01,1557
Berlin,2020-12-01,474
Brandenburg,2020-12-01,418
Bremen,2020-12-01,58
Hamburg,2020-12-01,57
Hessen,2020-12-01,634
Mecklenburg-Vorpommern,2020-12-01,113
Niedersachsen,2020-12-01,641
Nordrhein-Westfalen,2020-12-01,1491
Rheinland-Pfalz,2020-12-01,377
Saarland,2020-12-01,86
Sachsen,2020-12-01,622
Sachsen-Anhalt,2020-12-01,233
Schleswig-Holstein,2020-12-01,161
Thüringen,2020-12-01,353
Baden-Württemberg,2020-12-02,1548
Bayern,2020-12-02,2008
Berlin,2020-12-02,539
Brandenburg,2020-12-02,505
Bremen,2020-12-02,76
Hamburg,2020-12-02,67
Hessen,2020-12-02,831
Mecklenburg-Vorpommern,2020-12-02,114
Niedersachsen,2020-12-02,794
Nordrhein-Westfalen,2020-12-02,1934
Rheinland-Pfalz,2020-12-02,465
Saarland,2020-12-02,106
Sachsen,2020-12-02,714
Sachsen-Anhalt,2020-12-02,325
Schleswig-Holstein,2020-12-02,196
Thüringen,2020-12-02,441
Baden-Württemberg,2020-12-03,1425
Bayern,2020-12-03,1949
Berlin,2020-12-03,581
Brandenburg,2020-12-03,483
Bremen,2020-12-03,50
Hamburg,2020-12-03,92
Hessen,2020-12-03,780
Mecklenburg-Vorpommern,2020-12-03,125
Niedersachsen,2020-12-03,782
Nordrhein-Westfalen,2020-12-03,1833
Rheinland-Pfalz,2020-12-03,545
Saarland,2020-12-03,103
Sachsen,2020-12-03,752
Sachsen-Anhalt,2020-12-03,292
Schleswig-Holstein,2020-12-03,180
Thüringen,2020-12-03,514
Baden-Württemberg,2020-12-04,1426
Bayern,2020-12-04,1867
Berlin,2020-12-04,648
Brandenburg,2020-12-04,438
Bremen,2020-12-04,56
Hamburg,2020-12-04,73
Hessen,2020-12-04,790
Mecklenburg-Vorpommern,2020-12-04,108
Niedersachsen,2020-12-04,628
Nordrhein-Westfalen,2020-12-04,1854
Rheinland-Pfalz,2020-12-04,497
Saarland,2020-12-04,104
Sachsen,2020-12-04,702
Sachsen-Anhalt,2020-12-04,346
Schleswig-Holstein,2020-12-04,190
Thüringen,2020-12-04,435
Baden-Württemberg,2020-12-05,1221
Bayern,2020-12-05,1485
Berlin,2020-12-05,253
Brandenburg,2020-12-05,243
Bremen,2020-12-05,55
Hamburg,2020-12-05,69
Hessen,2020-12-05,603
Mecklenburg-Vorpommern,2020-12-05,97
Niedersachsen,2020-12-05,593
Nordrhein-Westfalen,2020-12-05,1443
Rheinland-Pfalz,2020-12-05,452
Saarland,2020-12-05,101
Sachsen,2020-12-05,579
Sachsen-Anhalt,2020-12-05,197
Schleswig-Holstein,2020-12-05,187
Thüringen,2020-12-05,242
