"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"deaths","Guam",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,742.319,2020-09-26 21:20:21,704.501,2020-09-21 05:32:03,415.607,NA,NA
"italy","",2020-09-26 07:18:05,-1,2020-09-25 00:06:29,-1,2020-09-21 15:35:31,-1,NA,NA,NA,NA
"united-kingdom","",2020-09-26 00:02:37,-1,2020-09-25 00:00:57,-1,2020-09-24 14:12:00,-1,NA,NA,NA,NA
"belgium","",2020-09-26 03:36:04,-1,2020-09-25 00:03:42,-1,NA,NA,NA,NA,NA,NA
"brazil","",2020-09-26 03:55:18,-1,2020-09-25 00:04:04,-1,NA,NA,NA,NA,NA,NA
"canada","",2020-09-26 04:18:33,-1,2020-09-25 00:04:43,-1,NA,NA,NA,NA,NA,NA
"germany","",2020-09-26 04:57:56,-1,2020-09-25 00:05:35,-1,NA,NA,NA,NA,NA,NA
"india","",2020-09-26 05:47:59,-1,2020-09-25 00:06:03,-1,NA,NA,NA,NA,NA,NA
"united-states","",2020-09-26 01:28:13,-1,NA,NA,NA,NA,NA,NA,NA,NA
"cases","Equatorial Guinea",2020-09-28 12:23:15,1093.036,2020-09-28 03:29:56,1006.561,2020-09-26 16:17:27,811.790000000001,NA,NA,NA,NA
"cases","Seychelles",2020-09-30 00:02:49,-1,2020-09-28 12:23:15,1312.62,2020-09-28 03:29:56,1457.64,2020-09-26 16:17:27,834.154999999999,NA,NA
"deaths","Belize",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,611.885,2020-09-26 21:20:21,321.689,NA,NA,NA,NA
"deaths","Jordan",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,4644.835,2020-09-26 21:20:21,2340.514,NA,NA,NA,NA
"deaths","Myanmar (Burma)",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,475.58,2020-09-26 21:20:21,299.528,NA,NA,NA,NA
"canada"         ,"Newfoundland and Labrador"                              ,2020-10-07 15:41:05,1033.004        ,2020-10-07 15:41:05,1033.004        ,2020-10-07 15:41:05,1033.004        ,2020-10-07 15:41:05,1033.004        ,2020-10-07 15:41:05,1033.004
