Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Caribbean Netherlands,1 (0 -- 28),,1.2 (0.35 -- 2.9),0.041 (-0.2 -- 0.44),17 (1.6 -- -3.4)
Cayman Islands,4 (1 -- 12),Likely increasing,1.1 (0.92 -- 1.3),0.022 (-0.021 -- 0.085),31 (8.1 -- -33)
Central African Republic,1 (0 -- 6),Likely decreasing,0.98 (0.7 -- 1.4),-0.0047 (-0.085 -- 0.11),-150 (6.3 -- -8.1)
Chad,88 (33 -- 258),Likely increasing,1.3 (0.99 -- 1.7),0.078 (-0.0039 -- 0.18),8.8 (3.9 -- -180)
Chile,3588 (3026 -- 4325),Stable,1.1 (1 -- 1.2),0.026 (0.0099 -- 0.045),27 (15 -- 70)
China,51 (13 -- 173),,0.85 (0.38 -- 1.6),-0.042 (-0.19 -- 0.16),-16 (4.2 -- -3.6)
Colombia,20465 (10521 -- 61725),Likely increasing,1.3 (0.91 -- 2.2),0.068 (-0.025 -- 0.3),10 (2.3 -- -28)
Comoros,33 (3 -- 328),Likely increasing,1.2 (0.54 -- 2.1),0.065 (-0.14 -- 0.27),11 (2.6 -- -5)
Congo - Brazzaville,405 (29 -- 20775),Likely increasing,2.1 (1 -- 9),0.27 (4e-04 -- 1.5),2.6 (0.45 -- 1700)
Congo - Kinshasa,374 (167 -- 755),Likely increasing,1.1 (0.91 -- 1.3),0.029 (-0.026 -- 0.072),24 (9.6 -- -27)
Costa Rica,953 (650 -- 1676),Likely decreasing,1 (0.91 -- 1.2),0.0032 (-0.026 -- 0.064),210 (11 -- -27)
Croatia,622 (241 -- 2064),Stable,0.87 (0.6 -- 1.4),-0.038 (-0.12 -- 0.11),-18 (6.3 -- -5.8)
Cuba,285 (96 -- 672),Likely increasing,1.1 (0.67 -- 1.6),0.023 (-0.095 -- 0.15),30 (4.8 -- -7.3)
Curaçao,0 (0 -- 9),Stable,0.31 (0.04 -- 0.98),-0.22 (-0.35 -- -0.0065),-3.2 (-110 -- -2)
Cyprus,828 (336 -- 2425),Likely increasing,1.1 (0.83 -- 1.6),0.038 (-0.048 -- 0.16),18 (4.3 -- -14)
Czechia,21996 (9909 -- 50934),Likely increasing,1.3 (0.9 -- 1.8),0.069 (-0.027 -- 0.2),10 (3.4 -- -26)
Côte d’Ivoire,127 (45 -- 693),Stable,1.2 (0.98 -- 1.8),0.052 (-0.0048 -- 0.21),13 (3.3 -- -140)
Denmark,1089 (371 -- 2965),Stable,0.8 (0.51 -- 1.2),-0.058 (-0.15 -- 0.05),-12 (14 -- -4.7)
Djibouti,2 (0 -- 15),Stable,0.79 (0.31 -- 1.6),-0.059 (-0.22 -- 0.14),-12 (4.8 -- -3.2)
Dominica,14 (0 -- 460),Likely increasing,1.9 (0.99 -- 5.7),0.23 (-0.0019 -- 0.94),3 (0.74 -- -360)
Dominican Republic,1504 (1018 -- 2383),Likely increasing,1.1 (0.98 -- 1.2),0.022 (-0.0066 -- 0.062),32 (11 -- -100)
Ecuador,721 (504 -- 1711),Likely decreasing,1 (0.95 -- 1.3),-0.00074 (-0.015 -- 0.073),-930 (9.4 -- -45)
Egypt,2654 (1460 -- 3690),Increasing,1.3 (0.91 -- 1.5),0.077 (-0.024 -- 0.13),8.9 (5.1 -- -29)
El Salvador,438 (286 -- 609),Likely increasing,1 (0.94 -- 1.1),0.008 (-0.018 -- 0.023),86 (31 -- -39)
