region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Somalia,1.1,0.5,1.6,0.9,1.2,1,1.1,Effective reproduction no.,Unsure
South Sudan,1.1,0.5,1.7,0.8,1.2,1,1.1,Effective reproduction no.,Unsure
St. Lucia,1.1,0.4,1.8,0.9,1.3,,,Effective reproduction no.,Unsure
Syria,1.1,0.6,1.5,0.9,1.2,0.9,1.1,Effective reproduction no.,Unsure
Taiwan,1.1,0.6,1.6,0.9,1.2,1,1.1,Effective reproduction no.,Unsure
Thailand,1.1,0.9,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
Ukraine,1.1,0.9,1.3,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing
United Arab Emirates,1.1,0.9,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
United States,1.1,1,1.2,1,1.1,1,1.1,Effective reproduction no.,Likely increasing
Uruguay,1.1,0.9,1.3,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing
San Marino,1.06,0.02,2.1,0.64,1.32,,,Effective reproduction no.,Unsure
Afghanistan,1,0.8,1.3,0.9,1.1,1,1,Effective reproduction no.,Unsure
Argentina,1,0.9,1.1,1,1.1,1,1.1,Effective reproduction no.,Unsure
Australia,1,0.6,1.5,0.8,1.2,0.9,1,Effective reproduction no.,Unsure
Bahamas,1,0.8,1.2,1,1.1,1,1.1,Effective reproduction no.,Unsure
Bahrain,1,0.7,1.1,0.9,1.1,1,1,Effective reproduction no.,Unsure
Bangladesh,1,0.9,1.2,1,1,1,1,Effective reproduction no.,Unsure
Belize,1,0.3,1.7,0.7,1.2,0.8,1,Effective reproduction no.,Unsure
Benin,1,0.5,1.6,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Bermuda,1,0.5,1.4,0.8,1.1,1,1,Effective reproduction no.,Unsure
Bhutan,1,0,4,0,1,0,1,New confirmed cases by infection date,Unsure
Bosnia & Herzegovina,1,0.9,1.3,1,1.1,1,1,Effective reproduction no.,Unsure
Brazil,1,0.9,1,0.9,1,1,1,Effective reproduction no.,Likely decreasing
Burundi,1,0.6,1.4,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Cameroon,1,0.4,1.3,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Central African Republic,1,0,5,0,1,0,0,New confirmed cases by infection date,Likely decreasing
Chile,1,0.9,1,1,1,1,1,Effective reproduction no.,Likely decreasing
China,1,0.7,1.3,0.9,1.1,1,1.1,Effective reproduction no.,Unsure
Colombia,1,0.9,1.2,1,1.1,1,1,Effective reproduction no.,Unsure
Comoros,1,0.7,1.5,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Congo - Kinshasa,1,0.8,1.3,0.9,1,0.9,1,Effective reproduction no.,Unsure
Costa Rica,1,0.8,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
Dominican Republic,1,0.8,1.1,0.9,1,0.9,1,Effective reproduction no.,Unsure
Ecuador,1,0.7,1.2,0.9,1,1,1,Effective reproduction no.,Unsure
Egypt,1,0.7,1.4,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Eritrea,1,0.6,1.5,0.9,1.1,1,1,Effective reproduction no.,Unsure
Ethiopia,1,0.6,1.3,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Gabon,1,0.6,1.5,0.8,1,0.8,0.9,Effective reproduction no.,Unsure
Guatemala,1,0.8,1.1,1,1,1,1,Effective reproduction no.,Unsure
Guyana,1,0.7,1.2,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Honduras,1,0.9,1.2,1,1,1,1,Effective reproduction no.,Unsure
Iceland,1,0.4,1.7,0.8,1.2,0.9,1.1,Effective reproduction no.,Unsure
Indonesia,1,0.9,1.1,1,1,1,1,Effective reproduction no.,Unsure
Japan,1,0.7,1.4,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Kazakhstan,1,0.6,1.4,0.9,1.1,0.9,0.9,Effective reproduction no.,Unsure
Kuwait,1,0.9,1.2,1,1.1,1,1,Effective reproduction no.,Unsure
Lesotho,1,0.5,1.3,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Libya,1,0.8,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
Maldives,1,0.8,1.2,0.9,1,0.9,1,Effective reproduction no.,Unsure
Mali,1,0.8,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
Moldova,1,0.9,1.1,1,1.1,1,1.1,Effective reproduction no.,Likely increasing
Mongolia,1,0.6,1.7,0.9,1.1,1,1,Effective reproduction no.,Unsure
Montenegro,1,0.7,1.4,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Montserrat,1,0,2.2,0,1,,,Effective reproduction no.,Unsure
Namibia,1,0.7,1.3,0.8,1,0.9,0.9,Effective reproduction no.,Unsure
Northern Mariana Islands,1,0,2,0,1,0,0,New confirmed cases by infection date,Unsure
Northern Mariana Islands,1,0.7,1.4,0.9,1.1,1,1,Effective reproduction no.,Unsure
